time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
83.7125,0.029979246,27.204521,83.7125,0.029979246,18.384918,83.7125,29.734568,83.7125,22.691355,83.7125,33.666668,83.7125,61.0,83.7125,0.0,83.7125,305.0,83.7125,968.38617,83.7125,14.780175,83.7125,0.0,83.7125,0.0,83.7125,0.0,83.7125,0.00074637734,83.7125,0.0006958047,83.7125,27.966665,83.7125,28.296667,83.7125,27.691109,83.7125,20260324,83.7125,170600,83.7125,2026.0,83.7125,3.0,83.7125,24.0,83.7125,17.0,83.7125,6.0,83.7125,0.0,83.7125,-1.0,83.7125,-999.0,83.7125,-999.0,83.7125,-999.0,83.7125,4.0872226,83.7125,2500.0,83.7125,0.029979246,86128.555,83.7125,0.029979246,61025.203,83.7125,,83.7125,,83.7125,,83.7125,,83.7125,,83.7125,,83.7125,,83.7125,,83.7125,0.11991698,0.5334003,83.7125,0.11991698,0.029626736,,,,,,,,,,,,,83.7125,0.0,0.0,1.7987548,83.7125,0.0,0.2698132,83.7125,0.11991698,0.205151,83.7125,0.11991698,28.402664,83.7125,0.11991698,0.0068383673,83.7125,0.11991698,0.0526386,83.7125,0.11991698,6.0,83.7125,0.0,WaterCloud,83.7125,30.0,83.7125,
83.7125,0.05995849,19.922163,83.7125,0.05995849,1.9200058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.05995849,63092.582,83.7125,0.05995849,6366.5923,,,,,,,,,,,,,,,,,83.7125,0.14989623,0.4673039,83.7125,0.14989623,0.025844859,,,,,,,,,,,,,83.7125,0.0,1.0,2.068568,83.7125,1.0,,83.7125,0.14989623,0.1770378,83.7125,0.14989623,28.278965,83.7125,0.14989623,0.00590126,83.7125,0.14989623,0.05243131,83.7125,0.14989623,6.0,83.7125,1.0,MixedCloud,,,,
83.7125,0.08993774,19.963158,83.7125,0.08993774,1.4713819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.08993774,63213.777,83.7125,0.08993774,4879.566,,,,,,,,,,,,,,,,,83.7125,0.17987548,0.40457308,83.7125,0.17987548,0.022540545,,,,,,,,,,,,,83.7125,0.0,2.0,2.6381736,83.7125,2.0,,83.7125,0.17987548,0.14936097,83.7125,0.17987548,28.157188,83.7125,0.17987548,0.0049786996,83.7125,0.17987548,0.05278136,83.7125,0.17987548,6.0,83.7125,2.0,Ice/dust/ash,,,,
83.7125,0.11991698,18.943314,83.7125,0.11991698,1.2119441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.11991698,59968.457,83.7125,0.11991698,4020.134,,,,,,,,,,,,,,,,,83.7125,0.20985472,0.38803387,83.7125,0.20985472,0.02091536,,,,,,,,,,,,,83.7125,1.0,0.0,,83.7125,3.0,,83.7125,0.20985472,0.14329846,83.7125,0.20985472,28.130512,83.7125,0.20985472,0.004776616,83.7125,0.20985472,0.051155057,83.7125,0.20985472,6.0,83.7125,3.0,Rain/Dust,,,,
83.7125,0.14989623,15.982449,83.7125,0.14989623,0.98392093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.14989623,50560.348,83.7125,0.14989623,3265.5693,,,,,,,,,,,,,,,,,83.7125,0.23983397,0.37444913,83.7125,0.23983397,0.01941944,,,,,,,,,,,,,83.7125,1.0,1.0,,83.7125,4.0,,83.7125,0.23983397,0.13850865,83.7125,0.23983397,28.109438,83.7125,0.23983397,0.0046169553,83.7125,0.23983397,0.049306974,83.7125,0.23983397,6.0,83.7125,4.0,Molecular,,,,
83.7125,0.17987548,13.288694,83.7125,0.17987548,0.80571175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.17987548,42076.992,83.7125,0.17987548,2673.463,,,,,,,,,,,,,,,,,83.7125,0.2698132,0.36253232,83.7125,0.2698132,0.018190045,,,,,,,,,,,,,83.7125,1.0,2.0,,83.7125,5.0,,83.7125,0.2698132,0.1343785,83.7125,0.2698132,28.091269,83.7125,0.2698132,0.0044792835,83.7125,0.2698132,0.047774866,83.7125,0.2698132,6.0,83.7125,5.0,CleanAerosol,,,,
83.7125,0.20985472,12.184574,83.7125,0.20985472,0.70139813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.20985472,38582.85,83.7125,0.20985472,2326.659,,,,,,,,,,,,,,,,,83.7125,0.29979247,0.36501905,83.7125,0.29979247,0.017774412,,,,,,,,,,,,,83.7125,2.0,0.0,,83.7125,6.0,,83.7125,0.29979247,0.13734604,83.7125,0.29979247,28.104322,83.7125,0.29979247,0.004578201,83.7125,0.29979247,0.04642767,83.7125,0.29979247,6.0,83.7125,6.0,PollutedAerosol,,,,
83.7125,0.23983397,11.195835,83.7125,0.23983397,0.61164653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.23983397,35449.203,83.7125,0.23983397,2029.7838,,,,,,,,,,,,,,,,,83.7125,0.3297717,0.35999328,83.7125,0.3297717,0.0171391,,,,,,,,,,,,,83.7125,2.0,1.0,,83.7125,7.0,,83.7125,0.3297717,0.1366598,83.7125,0.3297717,28.101303,83.7125,0.3297717,0.0045553264,83.7125,0.3297717,0.045447946,83.7125,0.3297717,6.0,83.7125,7.0,Undetected,,,,
83.7125,0.2698132,10.118355,83.7125,0.2698132,0.53053695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.2698132,32031.514,83.7125,0.2698132,1759.7444,,,,,,,,,,,,,,,,,83.7125,0.35975096,0.3539993,83.7125,0.35975096,0.016513318,,,,,,,,,,,,,83.7125,2.0,2.0,,83.7125,8.0,,83.7125,0.35975096,0.1353901,83.7125,0.35975096,28.095716,83.7125,0.35975096,0.0045130034,83.7125,0.35975096,0.04455934,83.7125,0.35975096,6.0,,,,,,,
83.7125,0.29979247,9.462873,83.7125,0.29979247,0.4780753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.29979247,29964.389,83.7125,0.29979247,1584.7458,,,,,,,,,,,,,,,,,83.7125,0.3897302,0.33557042,83.7125,0.3897302,0.014997214,,,,,,,,,,,,,83.7125,3.0,0.0,,83.7125,9.0,,83.7125,0.3897302,0.12759593,83.7125,0.3897302,28.061422,83.7125,0.3897302,0.0042531975,83.7125,0.3897302,0.042783137,83.7125,0.3897302,6.0,,,,,,,
