a2622612.565365
Narit-cm 26/02/2026 12:54:48 26/02/2026 12:56:53 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.68997	0.000549319	0.0166597	0.0166632	0
5.69048	0.000542119	0.0166597	0.0166632	0
5.69298	0.000539395	0	0	0
5.68681	0.000533622	0.0166597	0.0166632	0
5.68583	0.000531546	0	0	0
5.69227	0.000556648	0.0166597	0.0166632	0
5.6909	0.000523633	0	0	0
5.68449	0.000534725	0	0	0
5.69206	0.000536865	0.0166597	0.0166632	0
5.69483	0.000547567	0	0	0
5.69035	0.000546919	0.0166597	0.0166632	0
5.6931	0.00053012	0.0333195	0.0234645	0
5.69296	0.000534011	0	0	0
5.68905	0.000536152	0	0	0
5.69009	0.000528887	0.0166597	0.0166632	0
5.6904	0.000529406	0	0	0
5.68967	0.0005344	0	0	0
5.69028	0.00052999	0.0166597	0.0166632	0
5.69119	0.00053012	0	0	0
5.6915	0.000532519	0	0	0
5.69115	0.000516758	0	0	0
5.68996	0.000534725	0.0166597	0.0166632	0
5.68993	0.00053693	0	0	0
5.69112	0.000538098	0.0166597	0.0166632	0
5.6903	0.000547308	0	0	0
5.69068	0.000533363	0.0333195	0.0234645	0
5.69295	0.000538357	0.0166597	0.0166632	0
5.69095	0.00053933	0	0	0
5.69061	0.000538162	0	0	0
5.69135	0.000534336	0.0166597	0.0166632	0
5.68951	0.000528563	0.0333195	0.0234645	0
5.69182	0.000535373	0	0	0
5.69137	0.000540108	0	0	0
5.68996	0.000551394	0	0	0
5.69018	0.000531871	0.0166597	0.0166632	0
5.69079	0.000530444	0.0166597	0.0166632	0
5.69045	0.000526293	0	0	0
5.69092	0.000537579	0	0	0
5.69101	0.000538487	0	0	0
5.69107	0.000539979	0	0	0
5.69045	0.000542897	0	0	0
5.68992	0.000522401	0	0	0
5.68999	0.00054186	0	0	0
5.69128	0.000538746	0	0	0
5.69153	0.000531676	0	0	0
5.69114	0.000540887	0.0166597	0.0166632	0
5.69052	0.000532001	0	0	0
5.69026	0.000527849	0	0	0
5.69036	0.0005344	0.0166597	0.0166632	0
5.69029	0.00054147	0	0	0
5.69044	0.0005536	0	0	0
5.69115	0.000549448	0	0	0
5.69064	0.000540303	0	0	0
5.69022	0.000539525	0	0	0
5.68999	0.000546205	0	0	0
5.68992	0.000534271	0.0166597	0.0166632	0
5.691	0.000546854	0.0166597	0.0166632	0
5.69093	0.000543351	0.0166597	0.0166632	0
5.68997	0.000546205	0	0	0
5.69055	0.000542378	0.0166597	0.0166632	0
5.69139	0.000542443	0	0	0
5.69113	0.000552043	0	0	0
5.69018	0.000563783	0	0	0
5.69051	0.000551589	0	0	0
5.69109	0.000542638	0.0166597	0.0166632	0
5.69165	0.000547697	0.0166597	0.0166632	0
5.69141	0.000549708	0.0166597	0.0166632	0
5.6906	0.000549643	0	0	0
5.69101	0.000554962	0.0333195	0.0234645	0
5.69067	0.000540887	0.0333195	0.0234645	0
5.6899	0.000545751	0	0	0
5.68881	0.000542443	0	0	0
5.6906	0.000535763	0	0	0
5.69101	0.000524347	0	0	0
5.69002	0.000531741	0	0	0
5.68999	0.000538941	0.0166597	0.0166632	0
5.69025	0.000526552	0	0	0
5.69077	0.000545232	0.0166597	0.0166632	0
5.6898	0.000539654	0	0	0
5.69082	0.000542443	0	0	0
5.69163	0.000532649	0	0	0
5.69057	0.000556583	0.0333195	0.0234645	0
5.69026	0.0005344	0.0166597	0.0166632	0
5.69017	0.000534984	0.0166597	0.0166632	0
5.69073	0.000535244	0	0	0
5.69088	0.000533557	0	0	0
5.69026	0.000545103	0.0166597	0.0166632	0
5.69101	0.000540822	0	0	0
5.69102	0.000535308	0	0	0
5.69075	0.000542249	0.0166597	0.0166632	0
5.69107	0.000538876	0.0166597	0.0166632	0
5.69049	0.000540108	0.0166597	0.0166632	0
5.69041	0.000545686	0	0	0
5.69021	0.000535373	0	0	0
5.69004	0.000547438	0.0166597	0.0166632	0
5.68981	0.000532325	0	0	0
5.68999	0.000526487	0	0	0
5.69045	0.000543741	0.0166597	0.0166632	0
5.69107	0.000546984	0.0166597	0.0166632	0
5.69078	0.000535049	0.0166597	0.0166632	0
5.69088	0.000535892	0	0	0
5.69158	0.000536995	0	0	0
5.6901	0.000536346	0	0	0
5.69086	0.000551329	0	0	0
5.69135	0.000536735	0	0	0
5.69044	0.000534076	0	0	0
5.69042	0.000535373	0	0	0
5.69105	0.000543416	0	0	0
5.69055	0.000529147	0	0	0
5.6903	0.000534595	0	0	0
5.69088	0.000542833	0.0166597	0.0166632	0
5.69054	0.000534854	0	0	0
5.69002	0.000540043	0	0	0
5.69076	0.000535503	0	0	0
5.69078	0.000538552	0	0	0
5.69079	0.00053933	0.0166597	0.0166632	0
5.6903	0.000528498	0.0166597	0.0166632	0
5.6902	0.000539071	0.0166597	0.0166632	0
5.69018	0.000545232	0.0333195	0.0234645	0
5.69104	0.000535568	0.0166597	0.0166632	0
5.69047	0.000536411	0	0	0
5.68999	0.000529536	0	0	0
5.68907	0.000529601	0	0	0
5.68953	0.000532455	0	0	0
5.69121	0.000541276	0	0	0
5.69113	0.000520066	0	0	0
5.69051	0.000536541	0.0166597	0.0166632	0
5.69096	0.000543287	0	0	0
5.69046	0.00053239	0	0	0
5.69056	0.000526682	0.0166597	0.0166632	0
5.69085	0.000551329	0.0166597	0.0166632	0
5.69073	0.000548735	0	0	0
5.69151	0.000537968	0.0333195	0.0234645	0
5.69172	0.000535698	0	0	0
5.69098	0.000548216	0	0	0
5.69066	0.000546984	0	0	0
5.69092	0.000535892	0.0333195	0.0234645	0
