a2672316.421332
Narit-cm 23/07/2026 16:40:13 23/07/2026 16:42:13 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.p 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.p 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.p 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.p 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .p Analog 0 	532.000 .p Analog StErr 0 	532.000 .p Photon Counting 0 	532.000 .p PC StErr 0 	0.000 .o Overflow Info 0 
6.02413	0.000959832	1.33278	0.148268	0
6.02645	0.000990966	1.33278	0.148268	0
6.02523	0.000987593	1.14952	0.136366	0
6.02624	0.00102813	1.2828	0.145888	0
6.02715	0.000981431	1.14952	0.138407	0
6.02606	0.00102936	1.43274	0.15541	0
6.02698	0.00103741	1.1995	0.139087	0
6.02799	0.00103825	1.38276	0.150989	0
6.02831	0.00106543	1.48272	0.15609	0
6.02884	0.0010546	1.43274	0.153709	0
6.02654	0.00100627	1.13286	0.137386	0
6.02576	0.00099635	1.4494	0.15439	0
6.02749	0.00099142	1.08288	0.132625	0
6.02788	0.00104623	1.71595	0.173773	0
6.02653	0.00104097	1.09954	0.133646	0
6.02586	0.000997777	1.1995	0.139087	0
6.0275	0.00104454	1.34944	0.153029	0
6.02803	0.00100744	1.23282	0.143167	0
6.02582	0.000966513	1.06622	0.131605	0
6.02452	0.000976956	1.23282	0.143167	0
6.02699	0.00102405	1.38276	0.150989	0
6.02744	0.00102949	1.43274	0.153709	0
6.02614	0.00100186	1.26614	0.142827	0
6.02639	0.000961324	1.26614	0.144868	0
6.02533	0.00100329	1.04956	0.130585	0
6.02525	0.00101042	1.23282	0.144868	0
6.02695	0.000989799	1.06622	0.131605	0
6.02661	0.00103099	1.46606	0.15507	0
6.02641	0.000969562	1.14952	0.136366	0
6.02576	0.00101017	1.24948	0.143848	0
6.02665	0.000998296	1.24948	0.147928	0
6.02893	0.00105849	1.53269	0.160171	0
6.02798	0.00102223	1.14952	0.136366	0
6.02553	0.000988242	1.04956	0.130585	0
6.02715	0.000990512	1.14952	0.136366	0
6.02827	0.0010413	1.4494	0.152689	0
6.02719	0.000981042	1.16618	0.137386	0
6.0257	0.000953735	1.06622	0.131605	0
6.02596	0.00104681	1.39942	0.152009	0
6.02745	0.00104454	1.2828	0.143848	0
6.0283	0.00104999	1.39942	0.15541	0
6.0276	0.00105687	1.56601	0.15847	0
6.02734	0.00106835	1.34944	0.149289	0
6.02531	0.00100154	1.26614	0.144868	0
6.02588	0.00102028	1.1995	0.141127	0
6.0266	0.000996155	1.34944	0.147248	0
6.02641	0.000997517	1.21616	0.140107	0
6.02569	0.00102943	1.26614	0.142827	0
6.0254	0.000972221	0.932945	0.123104	0
6.02458	0.000977929	1.1162	0.136366	0
6.02504	0.000994728	1.29946	0.146568	0
6.02645	0.00101535	1.24948	0.142147	0
6.02711	0.00105278	1.39942	0.149969	0
6.02648	0.000991744	1.1162	0.136366	0
6.0246	0.000996544	1.13286	0.137386	0
6.02567	0.000998166	1.24948	0.142147	0
6.02661	0.000988242	1.34944	0.150989	0
6.02653	0.00101497	1.38276	0.150989	0
6.02759	0.00106478	1.51603	0.161191	0
6.02621	0.00101347	1.01624	0.128545	0
6.02617	0.000999852	1.26614	0.142827	0
6.02769	0.00102852	1.3661	0.153709	0
6.02679	0.00103806	1.33278	0.146568	0
6.02597	0.001033	1.46606	0.15507	0
6.02691	0.00100738	1.33278	0.148268	0
6.02687	0.00103118	1.23282	0.143167	0
6.02737	0.00103066	1.21616	0.142147	0
6.02588	0.000997647	1.04956	0.134666	0
6.02557	0.000996025	1.13286	0.137386	0
6.02552	0.00099155	1.2828	0.143848	0
6.02618	0.0010053	1.26614	0.142827	0
6.02817	0.000994923	1.31612	0.149289	0
6.02711	0.000996804	0.999584	0.127524	0
6.02813	0.00103397	1.49938	0.15847	0
6.0286	0.00102307	1.24948	0.143848	0
6.02644	0.00104493	1.33278	0.146568	0
6.0278	0.00108502	1.46606	0.153369	0
6.02806	0.00105265	1.39942	0.153709	0
6.02658	0.00104597	1.24948	0.142147	0
6.026	0.00104746	1.13286	0.135346	0
6.02624	0.000976242	1.26614	0.144868	0
6.02673	0.00105447	1.04956	0.130585	0
6.0266	0.00105427	1.31612	0.147588	0
6.02559	0.00101049	1.33278	0.148268	0
6.02529	0.00101568	1.2828	0.143848	0
6.02681	0.00101983	1.23282	0.143167	0
6.02741	0.0010162	1.2828	0.145888	0
6.02712	0.000977215	1.34944	0.147248	0
6.02717	0.00102392	1.26614	0.142827	0
6.02707	0.00103605	1.39942	0.152009	0
6.0264	0.00103092	1.29946	0.146568	0
6.02688	0.00107444	1.26614	0.142827	0
6.02772	0.0010234	1.2828	0.145888	0
6.02747	0.00104662	1.41608	0.152689	0
6.02633	0.00101685	1.29946	0.148608	0
6.02607	0.00106938	1.41608	0.15643	0
6.02877	0.00108294	1.56601	0.161871	0
6.02759	0.00103786	1.23282	0.143167	0
6.02605	0.00099862	1.1162	0.134326	0
6.0257	0.000997452	1.1995	0.139087	0
6.0267	0.00104286	1.43274	0.15711	0
6.02791	0.0010533	1.1995	0.139087	0
6.02664	0.00100712	1.1995	0.139087	0
6.02444	0.000977475	1.26614	0.146908	0
6.02586	0.000978059	1.26614	0.146908	0
6.02689	0.00102586	1.31612	0.149289	0
6.02668	0.00104941	1.29946	0.148608	0
6.02493	0.00100433	1.41608	0.150989	0
6.02594	0.00105654	1.51603	0.159491	0
6.02752	0.00103585	1.23282	0.141127	0
6.02604	0.000982664	1.09954	0.135686	0
6.02584	0.000988696	1.08288	0.132625	0
6.02714	0.00102988	1.23282	0.143167	0
6.02822	0.00102599	1.41608	0.152689	0
6.02726	0.00101354	1.3661	0.150309	0
6.02725	0.00105557	1.61599	0.165952	0
6.02708	0.00103741	1.29946	0.148608	0
6.02558	0.00103942	1.23282	0.143167	0
6.02556	0.00101633	1.13286	0.135346	0
6.02635	0.00098435	1.1162	0.134326	0
6.02671	0.000998555	1.24948	0.142147	0
6.02783	0.00102132	1.53269	0.15847	0
6.02686	0.00101899	1.08288	0.132625	0
6.026	0.000989799	1.13286	0.139427	0
6.02753	0.000995766	1.39942	0.152009	0
6.02722	0.000996998	1.29946	0.144868	0
6.02595	0.00100647	1.24948	0.143848	0
6.02558	0.000988242	1.2828	0.143848	0
6.02604	0.00100802	1.21616	0.140107	0
6.02651	0.000962946	1.06622	0.131605	0
6.02604	0.000973518	1.16618	0.137386	0
6.02549	0.000990966	1.51603	0.15575	0
6.02758	0.00103858	1.24948	0.143848	0
6.02878	0.00106186	1.61599	0.164251	0
6.02776	0.00106348	1.38276	0.150989	0
6.02714	0.00106705	1.21616	0.140107	0
6.02696	0.00102126	1.26614	0.144868	0
6.0278	0.00104253	1.2828	0.143848	0
6.02747	0.00102022	1.2828	0.143848	0
6.02649	0.00102768	1.26614	0.144868	0
6.02608	0.000968394	0.982924	0.126504	0
6.02623	0.00100238	1.21616	0.140107	0
6.02654	0.00101938	1.08288	0.136706	0
6.02594	0.00099622	1.39942	0.152009	0
6.02714	0.00102709	1.33278	0.146568	0
6.02728	0.00102359	1.33278	0.148268	0
6.02665	0.000984869	1.43274	0.153709	0
6.02691	0.001009	1.1162	0.136366	0
6.02526	0.000986685	1.23282	0.141127	0
6.02597	0.000997387	0.982924	0.128545	0
6.02737	0.00101594	1.43274	0.151669	0
6.02657	0.000997777	1.16618	0.139427	0
6.02769	0.00107457	1.54935	0.159151	0
6.02756	0.00103131	1.08288	0.134666	0
6.02513	0.000976567	1.13286	0.135346	0
6.02449	0.000982339	1.01624	0.130585	0
6.02646	0.000989085	1.3661	0.150309	0
6.02791	0.00100115	1.18284	0.140447	0
6.02674	0.00105161	1.39942	0.153709	0
6.0253	0.00102703	1.23282	0.146908	0
6.02631	0.00101153	1.13286	0.135346	0
6.02755	0.00102372	1.26614	0.146908	0
6.02763	0.00102456	1.34944	0.147248	0
6.02721	0.00102353	1.23282	0.141127	0
6.02775	0.00103319	1.46606	0.15507	0
6.02722	0.00100524	1.26614	0.142827	0
6.02562	0.00101458	1.04956	0.130585	0
6.02648	0.00106257	1.59933	0.168332	0
6.02633	0.00102534	1.08288	0.134666	0
6.02472	0.000986231	0.999584	0.127524	0
6.02548	0.00100757	1.2828	0.145888	0
6.02601	0.00100686	1.43274	0.15881	0
6.02632	0.000968913	1.0329	0.129565	0
6.02566	0.000996285	1.1995	0.143167	0
6.02591	0.00102619	1.23282	0.144868	0
6.02689	0.000985323	1.3661	0.148268	0
6.02722	0.00102229	1.31612	0.147588	0
6.02705	0.00104136	1.54935	0.15745	0
6.02661	0.00103546	1.16618	0.141467	0
6.02619	0.00102482	1.14952	0.138407	0
6.02549	0.00102372	1.14952	0.136366	0
6.02619	0.000995701	1.16618	0.137386	0
6.02609	0.00097955	0.999584	0.127524	0
6.02684	0.00102949	1.2828	0.147588	0
6.02706	0.00100258	1.26614	0.142827	0
6.02662	0.00101989	1.4494	0.152689	0
6.02684	0.0010055	1.16618	0.141467	0
6.02718	0.00101237	1.33278	0.148268	0
6.02712	0.00104078	1.24948	0.143848	0
6.02707	0.00101756	1.29946	0.146568	0
6.02491	0.000973583	0.932945	0.123104	0
6.02343	0.000942903	1.14952	0.136366	0
6.02729	0.00100452	1.3661	0.148268	0
6.02871	0.00103241	1.46606	0.15507	0
6.02586	0.00105233	1.1995	0.141127	0
6.02562	0.00102087	1.34944	0.15643	0
6.02617	0.00106089	1.33278	0.148268	0
6.02591	0.00101133	1.18284	0.138407	0
6.02538	0.00102216	1.29946	0.146568	0
6.02574	0.000971313	1.16618	0.139427	0
6.02674	0.00103235	1.41608	0.15813	0
6.02753	0.00109254	1.29946	0.152349	0
6.02576	0.00100335	1.26614	0.148608	0
6.02638	0.00106141	1.48272	0.15609	0
6.02829	0.00105816	1.24948	0.142147	0
6.02688	0.000997517	1.38276	0.152689	0
6.02563	0.000989409	1.0329	0.131605	0
6.02666	0.00100063	1.31612	0.151329	0
6.02687	0.000985128	1.21616	0.140107	0
6.0267	0.00104104	1.3661	0.148268	0
6.02794	0.00102353	1.18284	0.140447	0
6.02724	0.0010341	1.51603	0.15779	0
6.0274	0.00100342	1.26614	0.150649	0
6.0288	0.00104046	1.23282	0.141127	0
6.02961	0.00107289	1.3661	0.150309	0
6.02783	0.00102067	1.21616	0.142147	0
6.02608	0.00101205	1.24948	0.145888	0
6.02612	0.000997712	1.26614	0.142827	0
6.02714	0.000980329	1.1995	0.141127	0
6.02533	0.00102041	1.18284	0.142147	0
6.02587	0.00102826	1.39942	0.149969	0
6.02613	0.00101179	1.0329	0.131605	0
6.02511	0.000997712	1.46606	0.153369	0
6.0259	0.00100439	1.04956	0.132625	0
6.02803	0.00102281	1.2828	0.147588	0
6.02824	0.00105888	1.61599	0.160851	0
6.0281	0.00106802	1.2828	0.143848	0
6.0262	0.00100653	1.26614	0.142827	0
6.02635	0.00104785	1.38276	0.149289	0
6.02671	0.000990836	1.33278	0.148268	0
6.02568	0.0010007	1.1995	0.139087	0
6.02717	0.00101133	1.3661	0.148268	0
6.02904	0.00103507	1.33278	0.146568	0
6.02757	0.00100258	1.09954	0.133646	0
6.02547	0.000999139	1.4494	0.15439	0
6.02615	0.00102807	1.3661	0.148268	0
6.02623	0.000978253	0.882965	0.120043	0
6.02714	0.0010354	1.46606	0.15711	0
6.02766	0.00103183	1.3661	0.150309	0
6.02508	0.000976826	0.999584	0.129565	0
6.02484	0.000996804	1.18284	0.140447	0
6.02592	0.000945562	1.26614	0.142827	0
6.0253	0.00100238	1.14952	0.136366	0
6.02663	0.0010064	1.2828	0.143848	0
6.02585	0.000989085	1.16618	0.139427	0
6.02641	0.000987464	1.18284	0.140447	0
6.02735	0.000963205	1.1995	0.141127	0
6.02672	0.00100945	1.31612	0.145548	0
6.02772	0.00104097	1.33278	0.150309	0
6.02762	0.000980134	1.3661	0.148268	0
6.02556	0.000995766	1.13286	0.135346	0
6.02464	0.000961	1.08288	0.134666	0
6.02472	0.000994144	1.38276	0.149289	0
6.02477	0.000958794	0.916285	0.122083	0
6.02523	0.000961454	1.08288	0.132625	0
6.02466	0.000964632	1.1162	0.134326	0
6.02683	0.00106368	1.4494	0.15439	0
6.02759	0.00103157	1.24948	0.143848	0
6.02635	0.00101918	1.14952	0.136366	0
6.02578	0.000996804	1.43274	0.153709	0
6.0271	0.00106828	1.41608	0.15813	0
6.0274	0.00104156	1.21616	0.140107	0
6.02505	0.00098662	1.16618	0.137386	0
6.0258	0.00100083	1.31612	0.149289	0
6.02758	0.00103442	1.39942	0.152009	0
6.02678	0.00104325	1.13286	0.135346	0
6.02605	0.00101685	1.31612	0.145548	0
6.02594	0.000992004	1.41608	0.15439	0
6.02614	0.000994339	1.13286	0.139427	0
6.02612	0.00103086	1.21616	0.145888	0
6.02605	0.00102359	1.21616	0.144188	0
6.02621	0.00101367	1.18284	0.138407	0
6.02697	0.0010007	1.06622	0.133646	0
6.02576	0.000994209	1.38276	0.149289	0
6.02599	0.000975918	1.16618	0.139427	0
6.02632	0.00100686	1.33278	0.148268	0
6.0274	0.000976956	1.18284	0.140447	0
6.02699	0.000996869	1.31612	0.147588	0
6.02813	0.000992912	1.1995	0.139087	0
6.02672	0.000982534	1.08288	0.132625	0
6.02617	0.00101036	1.33278	0.146568	0
6.02664	0.000998296	1.23282	0.141127	0
6.02645	0.000989734	1.2828	0.147588	0
6.02662	0.000990512	1.38276	0.149289	0
6.02761	0.00103618	1.43274	0.15711	0
6.02806	0.00108923	1.43274	0.15541	0
6.02797	0.00105946	1.43274	0.153709	0
6.0275	0.00101211	1.41608	0.152689	0
6.02577	0.00102249	1.13286	0.137386	0
6.02647	0.00101334	1.4494	0.152689	0
6.02777	0.00104513	1.38276	0.150989	0
6.02773	0.00102405	1.2828	0.143848	0
6.02866	0.0010867	1.61599	0.160851	0
6.02763	0.00102476	1.21616	0.142147	0
6.02555	0.00100394	1.14952	0.138407	0
6.02754	0.00101626	1.64931	0.162211	0
6.02815	0.00103403	1.34944	0.147248	0
6.02586	0.00102152	1.16618	0.137386	0
6.02448	0.0010031	1.04956	0.130585	0
6.02526	0.000988307	1.31612	0.149289	0
6.02729	0.00101516	1.24948	0.142147	0
6.02679	0.000989409	1.46606	0.153369	0
6.02648	0.00103429	1.1162	0.134326	0
6.02534	0.00101075	1.1162	0.136366	0
6.02582	0.000989215	1.24948	0.142147	0
6.02751	0.00102975	1.49938	0.15847	0
6.0265	0.00102009	1.26614	0.146908	0
6.02738	0.00101159	1.29946	0.144868	0
6.02788	0.0010496	1.1995	0.143167	0
6.02605	0.00102301	1.33278	0.146568	0
6.02674	0.00105868	1.4494	0.15609	0
6.02778	0.00103922	1.24948	0.143848	0
6.02882	0.00105252	1.3661	0.148268	0
6.02838	0.00100491	1.23282	0.141127	0
6.02608	0.000992653	1.18284	0.140447	0
6.02655	0.00101146	1.33278	0.148268	0
6.02624	0.00101393	1.18284	0.138407	0
6.02418	0.000957627	0.932945	0.125484	0
6.02568	0.00097008	1.21616	0.140107	0
6.02706	0.000991939	1.01624	0.128545	0
6.02841	0.00104584	1.66597	0.163231	0
6.02806	0.00103105	1.21616	0.142147	0
6.02533	0.00101899	1.26614	0.146908	0
