a2672317.023913
Narit-cm 23/07/2026 17:02:00 23/07/2026 17:02:39 0045 0013.384714 0052.542598 00.0 00.0
0000152 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
438.604	4.68256	22.8947	2.89109	0
480.15	0.932532	4.47368	1.02794	1
410.65	10.1417	26.0526	1.75607	1
15.6031	3.46708	13.4211	1.75607	1
86.3729	6.64734	4.47368	1.09219	1
122.544	6.79279	8.42105	1.5205	1
0	0	6.84211	1.22068	1
45.642	3.00034	5.52632	1.11361	1
46.7311	2.92637	3.15789	0.878035	1
0	0	3.15789	0.878035	1
19.4724	1.10893	3.15789	0.878035	1
17.7327	1.03444	2.10526	0.728127	1
0.0675613	0.0301368	3.42105	0.985112	1
10.8175	0.392803	3.68421	0.942281	1
9.16279	0.345012	3.94737	0.963697	0
1.82511	0.108501	3.42105	0.920866	1
7.51723	0.118047	4.21053	1.00653	0
6.70473	0.105217	3.94737	0.963697	0
4.73582	0.0421621	2.63158	0.89945	0
6.69615	0.0358921	2.89474	0.835204	0
6.32968	0.0347034	3.68421	0.942281	0
5.71957	0.0135897	1.84211	0.685296	0
6.23336	0.00928856	1.31579	0.578218	0
5.97115	0.0139042	3.68421	1.07077	0
5.78488	0.00825514	2.36842	0.770957	0
5.99549	0.0062128	3.15789	0.878035	0
5.94083	0.00631083	2.10526	0.728127	0
5.93947	0.00604124	2.36842	0.770957	0
6.03811	0.00484443	1.84211	0.685296	0
5.98646	0.00493429	1.84211	0.685296	0
5.96502	0.00509768	0.789474	0.449725	0
5.99193	0.00516712	2.10526	0.728127	0
5.95062	0.00534276	1.84211	0.685296	0
5.93285	0.0049057	2.10526	0.728127	0
5.97953	0.00555925	1.57895	0.642465	0
5.98435	0.0046402	1.84211	0.685296	0
5.98781	0.00503641	2.36842	0.770957	0
6.00056	0.00450949	2.36842	0.770957	0
5.96904	0.00463203	1.31579	0.578218	0
5.94133	0.00445639	1.84211	0.685296	0
5.94444	0.00475865	1.57895	0.642465	0
5.93902	0.0046647	2.10526	0.728127	0
5.93139	0.00424807	1.05263	0.513972	0
5.95122	0.00443188	1.57895	0.642465	0
5.96658	0.00467696	1.31579	0.578218	0
5.96733	0.0048526	2.36842	0.856619	0
5.96668	0.00492204	1.05263	0.513972	0
5.96462	0.00465653	1.31579	0.578218	0
5.96025	0.00489345	1.84211	0.685296	0
5.96527	0.00484035	2.89474	0.835204	0
5.97029	0.00461977	0.789474	0.449725	0
5.97642	0.00476682	2.36842	0.856619	0
5.98189	0.00430525	1.05263	0.513972	0
5.97471	0.00466879	1.84211	0.685296	0
5.97085	0.00546122	2.63158	0.813788	0
5.96452	0.0053591	3.42105	0.985112	0
5.94585	0.0051181	1.57895	0.642465	0
5.93978	0.00532234	0.789474	0.449725	0
5.93857	0.00461569	1.31579	0.578218	0
5.9474	0.00420722	1.57895	0.642465	0
5.96136	0.00519571	2.10526	0.813788	0
5.96934	0.0051998	2.36842	0.856619	0
5.96241	0.0046116	1.31579	0.578218	0
5.96246	0.00437469	1.84211	0.685296	0
5.96056	0.00394989	1.57895	0.642465	0
5.95619	0.00437469	0.789474	0.449725	0
5.95995	0.00457893	1.84211	0.685296	0
5.96136	0.00458301	0.526316	0.364063	0
5.96216	0.00488119	1.84211	0.685296	0
5.96266	0.00388045	0.263158	0.256986	0
5.96728	0.00372931	1.31579	0.578218	0
5.96773	0.00412961	1.31579	0.578218	0
5.95835	0.00474231	2.10526	0.728127	0
5.94766	0.00394172	0.526316	0.364063	0
5.94389	0.00461569	1.31579	0.578218	0
5.95614	0.00469738	0.789474	0.449725	0
5.95242	0.00451766	1.05263	0.513972	0
5.94881	0.0042399	1.57895	0.642465	0
5.95965	0.00470147	2.36842	0.770957	0
5.96708	0.00459118	2.63158	0.813788	0
5.96869	0.00527332	3.42105	0.920866	0
5.9724	0.00553474	2.89474	0.835204	0
5.96899	0.00559193	2.10526	0.813788	0
5.96492	0.00631491	2.63158	0.813788	0
5.96879	0.00508134	1.31579	0.578218	0
