a2672316.473539
Narit-cm 23/07/2026 16:45:35 23/07/2026 16:47:35 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
6.00682	0.000604906	0	0	0
6.00601	0.000589987	0	0	0
6.00747	0.000586679	0	0	0
6.0074	0.000596539	0	0	0
6.00634	0.000593749	0	0	0
6.00702	0.000595566	0	0	0
6.00699	0.000590636	0	0	0
6.00755	0.000592647	0	0	0
6.00728	0.000587523	0	0	0
6.0084	0.000579415	0	0	0
6.00832	0.000586225	0	0	0
6.00842	0.000613208	0	0	0
6.00838	0.000583436	0	0	0
6.00782	0.000592193	0	0	0
6.00897	0.000609187	0	0	0
6.0091	0.000580128	0	0	0
6.00713	0.000592841	0	0	0
6.007	0.000585123	0	0	0
6.00789	0.000593295	0	0	0
6.00677	0.00059336	0	0	0
6.00698	0.000601079	0	0	0
6.00828	0.00060069	0	0	0
6.00745	0.000603738	0	0	0
6.00674	0.000602376	0	0	0
6.00598	0.000585123	0	0	0
6.00657	0.000582528	0	0	0
6.0078	0.000573707	0	0	0
6.00591	0.000591025	0	0	0
6.00594	0.000599457	0	0	0
6.00715	0.000579285	0	0	0
6.00735	0.000588366	0	0	0
6.00762	0.000600236	0	0	0
6.00737	0.000591544	0	0	0
6.00702	0.000601144	0	0	0
6.00681	0.000605684	0	0	0
6.00687	0.000601144	0	0	0
6.00715	0.00059122	0	0	0
6.00764	0.000604971	0	0	0
6.00758	0.00060523	0	0	0
6.00797	0.000587393	0	0	0
6.00803	0.000592322	0	0	0
