a2672316.531416
Narit-cm 23/07/2026 16:51:14 23/07/2026 16:53:14 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
6.00021	0.000611522	0	0	0
5.99953	0.000612689	0	0	0
6.0146	0.000608149	0	0	0
5.99887	0.000593231	0	0	0
6.00467	0.000616711	0	0	0
6.00619	0.00061684	0	0	0
6.00646	0.000600949	0	0	0
6.00124	0.000608343	0	0	0
6.00158	0.000598355	0	0	0
6.00023	0.000606462	0	0	0
6.00045	0.000590117	0	0	0
6.00296	0.000585447	0	0	0
6.00552	0.000598614	0	0	0
6.00899	0.000589079	0	0	0
6.01003	0.000593555	0	0	0
6.0103	0.000601403	0	0	0
6.00857	0.000602182	0	0	0
6.00797	0.000590377	0	0	0
6.00596	0.00059602	0	0	0
6.0042	0.000596474	0	0	0
6.00322	0.000606462	0	0	0
6.00406	0.000598225	0	0	0
6.0048	0.000617035	0	0	0
6.00508	0.000606333	0	0	0
6.00493	0.000608538	0	0	0
6.00449	0.00059122	0	0	0
6.00578	0.000601144	0	0	0
6.00361	0.000600106	0	0	0
6.00472	0.000591609	0	0	0
6.00575	0.000600884	0	0	0
6.00587	0.000600106	0	0	0
6.00647	0.000589469	0	0	0
6.00576	0.000603284	0	0	0
6.0069	0.000596798	0	0	0
6.00569	0.000597057	0	0	0
6.00577	0.000598484	0	0	0
6.00658	0.000601403	0	0	0
6.00611	0.000593685	0	0	0
6.0069	0.000596603	0	0	0
6.0069	0.000610354	0	0	0
6.00627	0.000609576	0	0	0
6.00604	0.000595306	0	0	0
6.00621	0.000603738	0	0	0
6.00584	0.000615673	0	0	0
6.0048	0.00059576	0	0	0
6.00428	0.000596668	0	0	0
6.00535	0.000612949	0	0	0
6.00455	0.000597382	0	0	0
6.00413	0.000597252	0	0	0
6.00451	0.000582139	0	0	0
6.00468	0.000591544	0	0	0
6.00444	0.000587912	0	0	0
6.00373	0.000609965	0	0	0
6.00462	0.000603608	0	0	0
6.00645	0.000583955	0	0	0
6.00586	0.000596928	0	0	0
6.00491	0.000590247	0	0	0
6.00549	0.000576691	0	0	0
6.00595	0.000591285	0	0	0
6.00627	0.00060523	0	0	0
6.00663	0.000601209	0	0	0
6.00743	0.000606462	0	0	0
6.00652	0.000594333	0.0166597	0.0166632	0
6.00519	0.000609122	0	0	0
6.00518	0.000594722	0	0	0
6.00562	0.000587198	0	0	0
6.00599	0.000599133	0	0	0
6.00605	0.000599976	0	0	0
6.00532	0.00057948	0	0	0
6.0047	0.000587004	0	0	0
6.00452	0.000594593	0	0	0
6.00526	0.000601338	0	0	0
6.00504	0.000599392	0	0	0
6.00459	0.000596474	0	0	0
6.00425	0.000583436	0	0	0
6.00411	0.000606008	0	0	0
6.00501	0.000598225	0	0	0
6.00556	0.000590766	0	0	0
6.00529	0.000615089	0	0	0
6.00421	0.000592258	0	0	0
6.00518	0.000588236	0	0	0
6.00599	0.000599717	0	0	0
6.00572	0.000597122	0	0	0
6.00506	0.000596993	0	0	0
6.00592	0.000602765	0	0	0
6.00711	0.000611327	0	0	0
6.00666	0.000585771	0	0	0
